Work Item Type,ID,Issue ID,Issue Type,Repository,Title,Issue URL,State,Created Date,Changed Date
Issue,81993,9743,GitHub,BotFramework-Composer,Goto Action Stopped working suddenly,"<a href=""https://github.com/microsoft/BotFramework-Composer/issues/9743""> https://github.com/microsoft/BotFramework-Composer/issues/9743</a>",To Do,5/16/2024 11:19:26 AM,5/16/2024 11:26:02 AM
Issue,81985,9742,GitHub,BotFramework-Composer,Could not load component list:Error certificate has expired *** Could not merge components ***,"<a href=""https://github.com/microsoft/BotFramework-Composer/issues/9742""> https://github.com/microsoft/BotFramework-Composer/issues/9742</a>",To Do,5/14/2024 11:05:01 AM,5/14/2024 11:13:41 AM
Issue,81974,78471839,Stack Overflow,StackOverflow,Communicate with Bot framework through web api,"<a href=""https://stackoverflow.com/questions/78471839""> https://stackoverflow.com/questions/78471839 </a>",To Do,5/13/2024 12:21:18 PM,5/13/2024 12:47:29 PM
Issue,81067,452073746,IcM,IcM,DL speech is not working with Python BOT,"<div><a href=""https://portal.microsofticm.com/imp/v3/incidents/incident/452073746/summary"">https://portal.microsofticm.com/imp/v3/incidents/incident/452073746/summary</a><br> </div>",Investigating,1/4/2024 3:06:34 PM,5/1/2024 4:16:35 PM
Issue,81432,6634,GitHub,BotFramework-Sdk,Token Service doesn't refresh token,"<a href=""https://github.com/microsoft/botframework-sdk/issues/6634""> https://github.com/microsoft/botframework-sdk/issues/6634</a>",Waiting on Customer,3/7/2024 11:19:33 AM,5/1/2024 4:16:35 PM
Issue,80999,6628,GitHub,BotFramework-Sdk,Occasional unexpected ConversationNotFound,"<a href=""https://github.com/microsoft/botframework-sdk/issues/6628"">https://github.com/microsoft/botframework-sdk/issues/6628</a>",To Do,12/20/2023 11:09:42 AM,12/20/2023 11:12:05 AM
Issue,81645,9730,GitHub,BotFramework-Composer,Problem when exporting and importing bot as zip,"<a href=""https://github.com/microsoft/BotFramework-Composer/issues/9730""> https://github.com/microsoft/BotFramework-Composer/issues/9730</a>",To Do,3/28/2024 10:59:42 AM,4/19/2024 11:36:20 AM
Issue,80068,4831,GitHub,BotFramework-Webchat,Minimizable Webchat (re-render),"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4831"">https://github.com/microsoft/BotFramework-WebChat/issues/4831</a>",To Do,8/17/2023 10:59:21 AM,4/19/2024 11:36:20 AM
Issue,80360,4859,GitHub,BotFramework-Webchat,It it possible to hide black frames (solid and thin dashed) appears when click on free space inside webchat,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4859"">https://github.com/microsoft/BotFramework-WebChat/issues/4859</a>",To Do,9/13/2023 10:59:18 AM,4/19/2024 11:36:20 AM
Issue,80483,4890,GitHub,BotFramework-Webchat,How to set properties of SpeechConfig in createCognitiveServicesSpeechServicesPonyfillFactory ?,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4890"">https://github.com/microsoft/BotFramework-WebChat/issues/4890</a>",To Do,10/4/2023 11:21:59 AM,4/19/2024 11:36:20 AM
Issue,78454,4635,GitHub,BotFramework-Webchat,Upload File - Clicking 'Retry' uploads wrong file,"<div><a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4635"">https://github.com/microsoft/BotFramework-WebChat/issues/4635</a><br> </div>",Investigating,2/6/2023 11:07:58 AM,5/2/2023 11:18:07 AM
Issue,78644,4660,GitHub,BotFramework-Webchat,Angular webchat sample is not showing any solution,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4660""> https://github.com/microsoft/BotFramework-WebChat/issues/4660</a>",Investigating,3/3/2023 9:28:26 AM,5/2/2023 11:14:07 AM
Issue,78861,4690,GitHub,BotFramework-Webchat,"WebChat in ReactJS shows ""Taking longer than usual to connect""","<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4690""> https://github.com/microsoft/BotFramework-WebChat/issues/4690</a>",Investigating,3/31/2023 9:31:38 AM,5/2/2023 10:59:25 AM
Issue,79400,4734,GitHub,BotFramework-Webchat,The transcript randomly loses stickiness to bottom when browser is zoomed out,"<div><a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4734"">https://github.com/microsoft/BotFramework-WebChat/issues/4734</a><br> </div>",Investigating,5/31/2023 11:00:39 AM,1/2/2024 12:29:20 PM
Issue,79637,4761,GitHub,BotFramework-Webchat,Action.ToggleVisibility in Web Chat creates console.log error,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4761""> https://github.com/microsoft/BotFramework-WebChat/issues/4761</a>",Investigating,7/6/2023 10:57:06 AM,1/2/2024 12:58:02 PM
Issue,80941,9677,GitHub,BotFramework-Composer,ChatBot Creator issue-Unable to use QandA template,"<a href=""https://github.com/microsoft/BotFramework-Composer/issues/9677"">https://github.com/microsoft/BotFramework-Composer/issues/9677</a>",Waiting on Customer,12/8/2023 11:00:06 AM,5/10/2024 11:22:15 AM
Issue,80959,4977,GitHub,BotFramework-Webchat,Direct line channel in bot framework,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4977"">https://github.com/microsoft/BotFramework-WebChat/issues/4977</a>",To Do,12/13/2023 11:17:55 AM,4/19/2024 11:36:20 AM
Issue,81684,5119,GitHub,BotFramework-Webchat,Clicking on 'New message' always scrolls to bottom of the most recent card. It should be customizable,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/5119""> https://github.com/microsoft/BotFramework-WebChat/issues/5119</a>",To Do,4/4/2024 11:17:45 AM,4/4/2024 11:26:37 AM
Issue,81697,421,GitHub,BotFramework-Directlinejs,Application crashes when refresh token returns an error,"<a href=""https://github.com/microsoft/BotFramework-DirectLineJS/issues/421""> https://github.com/microsoft/BotFramework-DirectLineJS/issues/421</a>",Waiting on Internal Task,4/8/2024 11:01:29 AM,5/1/2024 4:16:35 PM
Issue,81726,9735,GitHub,BotFramework-Composer,Failure while installing composer using yarn,"<a href=""https://github.com/microsoft/BotFramework-Composer/issues/9735""> https://github.com/microsoft/BotFramework-Composer/issues/9735</a>",To Do,4/15/2024 10:58:47 AM,4/15/2024 11:16:12 AM
Issue,81813,3971,GitHub,BotBuilder-Samples,Connect a bot to Slack Interactions,"<a href=""https://github.com/microsoft/BotBuilder-Samples/issues/3971""> https://github.com/microsoft/BotBuilder-Samples/issues/3971</a>",To Do,5/2/2024 11:19:04 AM,5/2/2024 12:32:05 PM
Issue,81827,6645,GitHub,BotFramework-Sdk,Suggested actions not working properly with choice action.,"<a href=""https://github.com/microsoft/botframework-sdk/issues/6645""> https://github.com/microsoft/botframework-sdk/issues/6645</a>",To Do,5/2/2024 11:43:43 AM,5/2/2024 12:32:05 PM
Issue,81898,5173,GitHub,BotFramework-Webchat,No welcome message in react despite userID set,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/5173""> https://github.com/microsoft/BotFramework-WebChat/issues/5173</a>",To Do,5/7/2024 11:18:29 AM,5/7/2024 12:27:00 PM
Issue,81962,5177,GitHub,BotFramework-Webchat,Cannot import downscaleImageToDataURLUsingBrowser with 4.17.0,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/5177""> https://github.com/microsoft/BotFramework-WebChat/issues/5177</a>",To Do,5/9/2024 11:06:40 AM,5/9/2024 11:32:24 AM
Issue,81734,78333507,Stack Overflow,StackOverflow,How to Invoke a Modal Dialog Popup with Image/Adaptive Cards in Microsoft Teams Using BotBuilder for Node.js?,"<a href=""https://stackoverflow.com/questions/78333507""> https://stackoverflow.com/questions/78333507 </a>",To Do,4/16/2024 11:21:27 AM,5/1/2024 4:16:35 PM
Issue,81735,78331294,Stack Overflow,StackOverflow,v3/teams/{teamId}/conversations returning 403 ServiceError Unknown,"<a href=""https://stackoverflow.com/questions/78331294""> https://stackoverflow.com/questions/78331294 </a>",To Do,4/16/2024 11:21:27 AM,5/1/2024 4:16:35 PM
Issue,81759,78391444,Stack Overflow,StackOverflow,Microsoft Teams bot responding 401 Unauthorized,"<a href=""https://stackoverflow.com/questions/78391444""> https://stackoverflow.com/questions/78391444 </a>",To Do,4/26/2024 11:00:07 AM,5/1/2024 4:16:35 PM
Issue,81763,78404147,Stack Overflow,StackOverflow,connect private messaging endpoint to teams bot,"<a href=""https://stackoverflow.com/questions/78404147""> https://stackoverflow.com/questions/78404147 </a>",To Do,4/29/2024 11:01:50 AM,5/1/2024 4:16:35 PM
Issue,81765,78403564,Stack Overflow,StackOverflow,How to flag AI content in Teams botbuilder?,"<a href=""https://stackoverflow.com/questions/78403564""> https://stackoverflow.com/questions/78403564 </a>",To Do,4/29/2024 11:01:50 AM,5/1/2024 4:16:35 PM
Issue,81772,78415620,Stack Overflow,StackOverflow,Azure BotServices is not forwarding Slack interactive messages,"<a href=""https://stackoverflow.com/questions/78415620""> https://stackoverflow.com/questions/78415620 </a>",To Do,5/1/2024 5:32:26 PM,5/10/2024 11:22:15 AM
Issue,80980,77678574,Stack Overflow,StackOverflow,"Receiving 403 (forbidden) from CLU whenever initiate the bot composer from custom adapter like (wechat, twiliio)","<a href=""https://stackoverflow.com/questions/77678574/receiving-403-forbidden-from-clu-whenever-initiate-the-bot-composer-from-custo"">https://stackoverflow.com/questions/77678574/receiving-403-forbidden-from-clu-whenever-initiate-the-bot-composer-from-custo</a>",To Do,12/18/2023 11:45:13 AM,4/19/2024 11:36:20 AM
Issue,80990,77683887,Stack Overflow,StackOverflow,Teams Bot typing animation disappearing before replies comes out,"<a href=""https://stackoverflow.com/questions/77683887/teams-bot-typing-animation-disappearing-before-replies-comes-out"">https://stackoverflow.com/questions/77683887/teams-bot-typing-animation-disappearing-before-replies-comes-out</a>",To Do,12/19/2023 11:12:03 AM,4/19/2024 11:36:20 AM
Issue,80944,77624351,Stack Overflow,StackOverflow,BotFramework-WebChat Error: &lt;ActivityKeyerComposer&gt; should not be nested,"<a href=""https://stackoverflow.com/questions/77624351/botframework-webchat-error-activitykeyercomposer-should-not-be-nested"">https://stackoverflow.com/questions/77624351/botframework-webchat-error-activitykeyercomposer-should-not-be-nested</a>",To Do,12/8/2023 11:00:07 AM,4/19/2024 11:36:20 AM
Issue,80042,76885541,Stack Overflow,StackOverflow,Adaptive cards web chat: Validate one input field number is greater that the other input field number,"<a href=""https://stackoverflow.com/questions/76885541/adaptive-cards-web-chat-validate-one-input-field-number-is-greater-that-the-oth"">https://stackoverflow.com/questions/76885541/adaptive-cards-web-chat-validate-one-input-field-number-is-greater-that-the-oth</a>",To Do,8/14/2023 11:34:21 AM,4/19/2024 11:36:20 AM
Issue,80572,77269403,Stack Overflow,StackOverflow,Why is Action.Execute returning 209: Invoke Validation Failed. User Forbidden to perform action?,"<a href=""https://stackoverflow.com/questions/77269403/why-is-action-execute-returning-209-invoke-validation-failed-user-forbidden-to"">https://stackoverflow.com/questions/77269403/why-is-action-execute-returning-209-invoke-validation-failed-user-forbidden-to</a>",To Do,10/11/2023 10:33:44 AM,4/19/2024 11:36:20 AM
Issue,80613,77306521,Stack Overflow,StackOverflow,Microphone with a very short pause is sending message to the bot,"<a href=""https://stackoverflow.com/questions/77306521/microphone-with-a-very-short-pause-is-sending-message-to-the-bot"">https://stackoverflow.com/questions/77306521/microphone-with-a-very-short-pause-is-sending-message-to-the-bot</a>",To Do,10/17/2023 10:54:00 AM,4/19/2024 11:36:20 AM
Issue,80711,77368914,Stack Overflow,StackOverflow,Single Sign On from Website to embedded Bot Framework Webchat component,"<a href=""https://stackoverflow.com/questions/77368914/single-sign-on-from-website-to-embedded-bot-framework-webchat-component"">https://stackoverflow.com/questions/77368914/single-sign-on-from-website-to-embedded-bot-framework-webchat-component</a>",To Do,10/26/2023 11:16:24 AM,4/19/2024 11:36:20 AM
Issue,80740,77391697,Stack Overflow,StackOverflow,how to add bot avatar in bot framework v4 in c#,"<a href=""https://stackoverflow.com/questions/77391697/how-to-add-bot-avatar-in-bot-framework-v4-in-c"">https://stackoverflow.com/questions/77391697/how-to-add-bot-avatar-in-bot-framework-v4-in-c</a>",To Do,10/31/2023 11:01:44 AM,4/19/2024 11:36:20 AM
Issue,80758,77426687,Stack Overflow,StackOverflow,Component not updating when useMemo value changes,"<a href=""https://stackoverflow.com/questions/77426687""> https://stackoverflow.com/questions/77426687 </a>",To Do,11/6/2023 12:18:57 PM,4/19/2024 11:36:20 AM
Issue,80779,77447505,Stack Overflow,StackOverflow,How to use the continue conversation node in bot framework composer (.NET)?,"<a href=""https://stackoverflow.com/questions/77447505/how-to-use-the-continue-conversation-node-in-bot-framework-composer-net"">https://stackoverflow.com/questions/77447505/how-to-use-the-continue-conversation-node-in-bot-framework-composer-net</a>",To Do,11/8/2023 11:06:25 AM,4/19/2024 11:36:20 AM
Issue,80920,77607576,Stack Overflow,StackOverflow,Microsoft Bot Framework Async Suggested Actions Not Working,"<a href=""https://stackoverflow.com/questions/77607576/microsoft-bot-framework-async-suggested-actions-not-working"">https://stackoverflow.com/questions/77607576/microsoft-bot-framework-async-suggested-actions-not-working</a>",To Do,12/5/2023 11:09:07 AM,4/19/2024 11:36:20 AM
Issue,81665,78262466,Stack Overflow,StackOverflow,Azure MS Bot-Framework - Webchat - Citation Dialog Pop up Modal Activation - Python,"<a href=""https://stackoverflow.com/questions/78262466""> https://stackoverflow.com/questions/78262466 </a>",To Do,4/2/2024 11:01:57 AM,5/1/2024 4:16:35 PM
Issue,81065,77759446,Stack Overflow,StackOverflow,Messagebird returning 401 Unauthorized Error in My Bot using Microsoft Bot Framewerk C#,"<a href=""https://stackoverflow.com/questions/77759446/messagebird-returning-401-unauthorized-error-in-my-bot-using-microsoft-bot-frame"">https://stackoverflow.com/questions/77759446/messagebird-returning-401-unauthorized-error-in-my-bot-using-microsoft-bot-frame</a>",To Do,1/4/2024 11:08:24 AM,4/19/2024 11:36:20 AM
Issue,81533,78158787,Stack Overflow,StackOverflow,Message alignment to the left for user and bot message bubble,"<a href=""https://stackoverflow.com/questions/78158787""> https://stackoverflow.com/questions/78158787 </a>",To Do,3/14/2024 11:12:06 AM,4/19/2024 11:36:20 AM
Issue,81621,78190941,Stack Overflow,StackOverflow,botbuilder send activity context on stream,"<a href=""https://stackoverflow.com/questions/78190941""> https://stackoverflow.com/questions/78190941 </a>",To Do,3/21/2024 10:54:11 AM,5/1/2024 4:16:35 PM
Issue,81625,78193852,Stack Overflow,StackOverflow,Adaptive-card sortby on datetime property,"<a href=""https://stackoverflow.com/questions/78193852""> https://stackoverflow.com/questions/78193852 </a>",To Do,3/21/2024 10:54:11 AM,4/19/2024 11:36:20 AM
Issue,81638,78223549,Stack Overflow,StackOverflow,Allow Teams Bot to authenticate to App Service after IDP setup,"<a href=""https://stackoverflow.com/questions/78223549""> https://stackoverflow.com/questions/78223549 </a>",To Do,3/26/2024 10:56:57 AM,5/1/2024 4:16:35 PM
Issue,81110,77805056,Stack Overflow,StackOverflow,My text value is getting empty every time in React,"<a href=""https://stackoverflow.com/questions/77805056/my-text-value-is-getting-empty-every-time-in-react"">https://stackoverflow.com/questions/77805056/my-text-value-is-getting-empty-every-time-in-react</a>",To Do,1/12/2024 12:13:14 PM,4/19/2024 11:36:20 AM
Issue,81124,77825225,Stack Overflow,StackOverflow,Integration and unit test cases for MS teams bot using bot framework adapter,"<a href=""https://stackoverflow.com/questions/77825225/integration-and-unit-test-cases-for-ms-teams-bot-using-bot-framework-adapter"">https://stackoverflow.com/questions/77825225/integration-and-unit-test-cases-for-ms-teams-bot-using-bot-framework-adapter</a>",To Do,1/16/2024 11:02:03 AM,4/19/2024 11:36:20 AM
Issue,81163,77871474,Stack Overflow,StackOverflow,This hook can only be used on a component that is a descendant of &lt;Composer&gt; react,"<a href=""https://stackoverflow.com/questions/77871474/this-hook-can-only-be-used-on-a-component-that-is-a-descendant-of-composer-rea"">https://stackoverflow.com/questions/77871474/this-hook-can-only-be-used-on-a-component-that-is-a-descendant-of-composer-rea</a>",To Do,1/24/2024 11:23:47 AM,4/19/2024 11:36:20 AM
Issue,81182,77899628,Stack Overflow,StackOverflow,Recompose bubble and add custom elements to content,"<a href=""https://stackoverflow.com/questions/77899628/recompose-bubble-and-add-custom-elements-to-content"">https://stackoverflow.com/questions/77899628/recompose-bubble-and-add-custom-elements-to-content</a>",To Do,1/29/2024 11:09:56 AM,4/19/2024 11:36:20 AM
Issue,81184,77899096,Stack Overflow,StackOverflow,Botframework webchat | how to get rid of 5 second delay after oAuth prompt,"<a href=""https://stackoverflow.com/questions/77899096/botframework-webchat-how-to-get-rid-of-5-second-delay-after-oauth-prompt"">https://stackoverflow.com/questions/77899096/botframework-webchat-how-to-get-rid-of-5-second-delay-after-oauth-prompt</a>",To Do,1/29/2024 11:09:57 AM,4/19/2024 11:36:20 AM
Issue,81193,77912491,Stack Overflow,StackOverflow,MS Teams Bot message-extension- Agent returned unsuccessful status code InternalServerError,"<a href=""https://stackoverflow.com/questions/77912491/ms-teams-bot-message-extension-agent-returned-unsuccessful-status-code-internal"">https://stackoverflow.com/questions/77912491/ms-teams-bot-message-extension-agent-returned-unsuccessful-status-code-internal</a>",To Do,1/31/2024 11:15:07 AM,4/19/2024 11:36:20 AM
Issue,81216,77957284,Stack Overflow,StackOverflow,Botframework-directlinejs error on Next.JS 14,"<a href=""https://stackoverflow.com/questions/77957284/botframework-directlinejs-error-on-next-js-14"">https://stackoverflow.com/questions/77957284/botframework-directlinejs-error-on-next-js-14</a>",To Do,2/7/2024 11:05:11 AM,4/19/2024 11:36:20 AM
Issue,81242,77977970,Stack Overflow,StackOverflow,Adaptive Card to send message to the end user by command / Bot Framework SDK - JavaScript - node.js,"<a href=""https://stackoverflow.com/questions/77977970/adaptive-card-to-send-message-to-the-end-user-by-command-bot-framework-sdk-j"">https://stackoverflow.com/questions/77977970/adaptive-card-to-send-message-to-the-end-user-by-command-bot-framework-sdk-j</a>",To Do,2/12/2024 11:19:25 AM,4/19/2024 11:36:20 AM
Issue,81259,78011628,Stack Overflow,StackOverflow,How to add authentication to an exposed endpoint in Azure Bot Service?,"<a href=""https://stackoverflow.com/questions/78011628""> https://stackoverflow.com/questions/78011628 </a>",To Do,2/19/2024 11:46:35 AM,4/19/2024 11:36:20 AM
Issue,81270,78029716,Stack Overflow,StackOverflow,How do I send a template created using Twilio&#39;s content builder with Twilio&#39;s Microsoft bot framework channel adapter,"<a href=""https://stackoverflow.com/questions/78029716/how-do-i-send-a-template-created-using-twilios-content-builder-with-twilios-mi"">https://stackoverflow.com/questions/78029716/how-do-i-send-a-template-created-using-twilios-content-builder-with-twilios-mi</a>",To Do,2/20/2024 11:51:01 AM,4/19/2024 11:36:20 AM
Issue,81319,78082122,Stack Overflow,StackOverflow,MS Teams Sign in button showing multiple times,"<a href=""https://stackoverflow.com/questions/78082122""> https://stackoverflow.com/questions/78082122 </a>",To Do,2/29/2024 11:08:48 AM,4/19/2024 11:36:20 AM
Issue,81323,78069274,Stack Overflow,StackOverflow,Botframework webchat Directline | How to get rid op 502 error while streaming openai answers,"<a href=""https://stackoverflow.com/questions/78069274""> https://stackoverflow.com/questions/78069274 </a>",To Do,2/29/2024 11:08:48 AM,4/19/2024 11:36:20 AM
Issue,81342,78103300,Stack Overflow,StackOverflow,Is there a way to auto translate Microsoft Adaptive Cards on NodeJS?,"<a href=""https://stackoverflow.com/questions/78103300""> https://stackoverflow.com/questions/78103300 </a>",To Do,3/4/2024 11:08:27 AM,5/1/2024 4:16:35 PM
Issue,81343,78101027,Stack Overflow,StackOverflow,custom question answering using language service in azure,"<a href=""https://stackoverflow.com/questions/78101027""> https://stackoverflow.com/questions/78101027 </a>",To Do,3/4/2024 11:08:27 AM,5/1/2024 4:16:35 PM
Issue,81978,78475162,Stack Overflow,(Unknown),How to send a Proactive Message to a Teams Channel,"<a href=""https://stackoverflow.com/questions/78475162""> https://stackoverflow.com/questions/78475162 </a>",To Do,5/14/2024 11:05:00 AM,5/14/2024 11:13:41 AM